0	3500	1000	250	200	50
1	2947	822	202	227	54
2	2577	708	175	251	56
3	2242	625	155	270	61
4	1943	543	139	295	66
5	1736	472	128	315	64
6	1443	411	104	342	73
7	1239	356	87	360	76
8	1032	327	77	375	80
9	871	287	64	396	83
10	753	246	57	406	78
11	638	199	45	423	77
12	559	164	30	421	75
13	482	144	29	419	73
14	403	117	26	406	78
15	322	87	26	401	80
16	285	83	25	381	80
17	239	76	23	372	76
18	211	63	17	369	72
19	184	48	14	364	73
20	151	36	11	355	71
21	128	30	8	341	68
22	100	24	6	331	68
23	80	30	7	312	68
24	75	23	9	292	65
25	62	20	9	280	60
26	53	20	11	266	58
27	53	20	11	266	58
28	50	19	11	262	56
29	43	21	10	256	55
30	31	17	10	244	54
31	22	15	9	231	50
32	22	15	7	227	45
33	26	21	7	214	44
34	24	29	8	205	42
35	22	28	9	198	41
36	22	29	9	189	40
37	25	27	8	177	38
38	29	26	7	170	38
39	35	28	8	169	38
40	34	26	6	158	37
41	40	32	5	153	36
42	39	35	5	147	33
43	42	35	5	140	32
44	43	35	6	132	32
45	46	34	10	129	32
46	48	38	9	126	30
47	55	44	7	120	30
48	59	55	8	114	27
49	66	60	9	111	27
50	67	64	7	104	26
51	83	66	7	100	26
